id,type,category,epoch,difficulty,points,question,content,correctAnswer,rubric,tags,metadata,createdAt,updatedAt,work
cmhyzclom000aqh6ehcs1ojf7,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,1,1,Kim jest Razumichin?,"{""options"": [""Bratem Raskolnikowa"", ""Najlepszym przyjacielem Raskolnikowa"", ""Śledczym"", ""Lekarzem""]}",1,,{},"{""explanation"": ""Razumichin to jedyny prawdziwy przyjaciel Raskolnikowa - student, wesoły i dobry człowiek, który później zakocha się w Duni.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclom000eqh6eu80fco1q,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Kim jest Arkadiusz Swidrigajłow?,"{""options"": [""Ojcem Duni"", ""Byłym pracodawcą Duni, libertyn próbujący ją uwieść"", ""Przyjacielem Raskolnikowa"", ""Bratem Soni""]}",1,,{},"{""explanation"": ""Swidrigajłow to były pracodawca Duni, który ją prześladował - cynik i libertyn, który podsłuchał wyznanie Raskolnikowa i później popełnił samobójstwo.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclon000fqh6eicw2qfpi,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Kim jest Piotr Pietrowicz Łużyn?,"{""options"": [""Bratem Raskolnikowa"", ""Narzeczonym Duni, próżnym i podłym karierowiczem"", ""Lekarzem"", ""Komisarzem policji""]}",1,,{},"{""explanation"": ""Łużyn to 45-letni karierowicz, który chce poślubić biedną Dunię, żeby miała wobec niego wdzięczność i była mu podporządkowana.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclon000gqh6e4s77rijp,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Dlaczego Sonia stała się prostytutką?,"{""options"": [""Z własnego wyboru"", ""Została zmuszona przez Raskolnikowa"", ""Z rozpaczy po śmierci ojca"", ""Aby wykarmić głodujące rodzeństwo i chorą macochę""]}",3,,{},"{""explanation"": ""Sonia poświęciła się dla rodziny - poszła na żółty bilet, żeby wyżywić troje małych dzieci macochy i chorobliwie zazdrosną Katarzynę Iwanownę.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclon000jqh6e2zeel9a4,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Kto w końcu wyszedł za mąż za Razumichina?,"{""options"": [""Sonia"", ""Dunia"", ""Nastasja"", ""Katarzyna""]}",1,,{},"{""explanation"": ""Dunia wyszła za mąż za Razumichina - przyjaciela jej brata, który opiekował się rodziną Raskolnikowów podczas choroby Rodiona.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmiip010c000lqh7m7l6g43nz,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Co według Wiktora Weintrauba oznacza termin 'romantyczny tytanizm'?,"{""options"": [""kult siły fizycznej"", ""bunt przeciw Bogu chrześcijańskiemu (nie pogańskim bogom)"", ""naśladowanie mitologii greckiej"", ""idealizację przemocy""]}",1,,{},"{""explanation"": ""Weintraub podkreślał, że polski prometeizm to bunt przeciw Bogu chrześcijańskiemu - co czyni go radykalniejszym niż mit antyczny.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010c000mqh7mqmmwqbd5,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Która badaczka analizowała Wielką Improwizację jako 'mechanizm obronny rozbitej podmiotowości'?,"{""options"": [""Maria Janion"", ""Zofia Stefanowska"", ""Kwiryna Ziemba"", ""Alina Witkowska""]}",2,,{},"{""explanation"": ""Kwiryna Ziemba interpretowała utożsamienie z 'Milionem' jako mechanizm obronny - wzmocnienie 'ja' przez identyfikację ze zbiorowością.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010c000nqh7mx3jeytfp,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Do jakiej biblijnej księgi nawiązuje konflikt Konrada z milczącym Bogiem?,"{""options"": [""Księga Rodzaju"", ""Księga Hioba"", ""Pieśń nad Pieśniami"", ""Apokalipsa""]}",1,,{},"{""explanation"": ""Księga Hioba to archetypiczny tekst o teodycei - niewinny cierpiący pyta Boga o sens cierpienia, Bóg ostatecznie odpowiada z wichru.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010c000oqh7mrqksmkhs,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Co według Alfreda Galla stanowi mesjanizm w perspektywie postkolonialnej?,"{""options"": [""wyraz polskiego nacjonalizmu"", ""kontrdyskurs wobec hegemonii filozofii niemieckiej"", ""naśladowanie mesjanizmu francuskiego"", ""formę ucieczki od rzeczywistości""]}",1,,{},"{""explanation"": ""Gall interpretuje mesjanizm jako świadomą strategię - 'zawłaszczenie dyskursu hegemonialnego' (Hegla) i stworzenie kontrdyskursu.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000pqh7mta5drxx7,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Czym różni się polski prometeizm od klasycznego mitu Prometeusza?,"{""options"": [""brakiem elementu cierpienia"", ""buntem przeciw Bogu chrześcijańskiemu, nie pogańskim bogom"", ""happy endem"", ""brakiem poświęcenia dla ludzkości""]}",1,,{},"{""explanation"": ""Prometeusz buntował się przeciw Zeusowi (bóg pogański), Konrad - przeciw Bogu chrześcijańskiemu, co czyni bunt bardziej radykalnym i bluźnierczym.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000qqh7mr8vtltlx,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Jaką funkcję pełni omdlenie Konrada w strukturze dramatu?,"{""options"": [""tylko dramaturgiczną (napięcie)"", ""chroni bohatera przed wypowiedzeniem pełnego bluźnierstwa"", ""symbolizuje śmierć"", ""pokazuje słabość fizyczną""]}",1,,{},"{""explanation"": ""Omdlenie można interpretować jako interwencję Opatrzności lub wewnętrzny hamulec - chroni Konrada przed potępieniem.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000rqh7myjtj61x0,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Na czym polega ambiwalencja żądania 'rządu dusz' przez Konrada?,"{""options"": [""jest zarówno modlitwą, jak i groźbą"", ""łączy miłość do narodu z pragnieniem despotycznej władzy"", ""wyraża zarówno wiarę, jak i ateizm"", ""jest jednocześnie szczere i ironiczne""]}",1,,{},"{""explanation"": ""Konrad chce władzy z miłości, ale samo pragnienie absolutnej władzy nad duszami ma rysy despotyzmu - to napięcie jest kluczowe.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000sqh7mplsf0kl0,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Co Mickiewicz miał na myśli pisząc w liście o 'wyrzygnięciu dumy'?,"{""options"": [""krytykę arystokracji"", ""oczyszczenie Konrada z pychy przez Improwizację"", ""odrzucenie filozofii niemieckiej"", ""pochwałę pokory""]}",1,,{},"{""explanation"": ""Mickiewicz pisał, że Konrad musiał 'wyrzygnąć dumę' - Improwizacja jest katharsis, oczyszczeniem z pychy, które umożliwia przemianę.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000tqh7ml3ye16zf,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,Który element teozofii Boehmego tłumaczy słowa Konrada o ataku 'przeciw naturze' Boga?,"{""options"": [""koncepcja predestynacji"", ""rozróżnienie Boga (Ungrund) od Jego 'wiecznej natury' zawierającej ciemne siły"", ""idea reinkarnacji"", ""dualizm dobra i zła""]}",1,,{},"{""explanation"": ""Boehme rozróżniał absolutny Bóg (Ungrund) od 'wiecznej natury' zawierającej też ciemne siły. Konrad atakuje tę naturę, nie sam Absolut.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010f000uqh7mz311v72i,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,Jak Natalia Piórczyńska interpretuje 'lucyferyczny' charakter buntu Konrada?,"{""options"": [""jako satanizm"", ""jako aspirację do boskości bez odrzucenia Boga"", ""jako nihilizm"", ""jako ateizm""]}",1,,{},"{""explanation"": ""Piórczyńska widzi w buncie Konrada nie szatański nihilizm, lecz lucyferyczną aspirację do boskości - chce być jak Bóg, nie przeciw Bogu.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmhyzcloo000pqh6eje8jvvlo,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,1,1,Jak zakończyła swoje życie Katarzyna Iwanowna?,"{""options"": [""Zmarła z gruźlicy podczas żebrania z dziećmi na ulicy"", ""Została zamordowana"", ""Popełniła samobójstwo"", ""Wyzdrowiała""]}",0,,{},"{""explanation"": ""Katarzyna, wypędzona przez gospodynię, zmusiła dzieci do żebrania na ulicy. Dostała krwotoku i zmarła w mieszkaniu Soni.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzcloo000tqh6ereqfj4f9,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Co Łużyn próbował zrobić Soni podczas stypy?,"{""options"": [""Dać jej pieniądze"", ""Podrzucić jej 100 rubli i oskarżyć o kradzież"", ""Pomóc jej znaleźć pracę"", ""Zaproponować małżeństwo""]}",1,,{},"{""explanation"": ""Łużyn podstępnie wsunął Soni do kieszeni 100 rubli, żeby potem oskarżyć ją o kradzież i zdyskredytować przed rodziną Raskolnikowów. Demaskuje go Lebieziatnikow.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzcloo000vqh6etee2j1s3,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Jak zakończył życie Swidrigajłow?,"{""options"": [""Wyjechał za granicę"", ""Zastrzelił się z rewolweru"", ""Został zabity przez Dunię"", ""Umarł z choroby""]}",1,,{},"{""explanation"": ""Po odrzuceniu przez Dunię Swidrigajłow rozdał pieniądze (dzieciom Marmeladowów, Soni, swojej narzeczonej), a rano zastrzelił się przy wieży celnej.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmh5ev7zk0000qhd90hfitfme,CLOSED_SINGLE,HISTORICAL_LITERARY,ANTIQUITY,1,1,Jak nazywał się syn Odyseusza?,"{""options"": [""Telemach"", ""Parys"", ""Hektor"", ""Patrokles""]}",0,,"{historical_literary,closed_single,difficulty-1,antiquity,batch-2025-01}","{""explanation"": ""Telemach był synem Odyseusza i Penelopy. W Odysei opisane są także jego przygody.""}",2025-10-24 22:16:52.015,2025-10-24 22:16:52.015,Odyseja
cmiip010g000vqh7mx69vq35b,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,"Co według filozofii Schellinga oznacza, że poeta jest 'organem Absolutu'?","{""options"": [""poeta jest narzędziem władzy"", ""przez poetę przemawia nieskończoność, tworzy jak Bóg"", ""poeta służy państwu"", ""poeta przekazuje tradycję""]}",1,,{},"{""explanation"": ""U Schellinga sztuka jest 'organem Absolutu' - przez geniusza artystycznego przemawia nieskończoność, poeta tworzy światy jak demiurg.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010g000wqh7mphxxjtso,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,"Jak Leibnizowska teodyceja, krytykowana przez Konrada, wyjaśnia istnienie zła?","{""options"": [""zło jest iluzją"", ""świat jest najlepszy z możliwych, zło jest koniecznym elementem harmonii"", ""zło pochodzi od diabła"", ""Bóg nie jest wszechmocny""]}",1,,{},"{""explanation"": ""Leibniz twierdził, że żyjemy w 'najlepszym z możliwych światów' - zło jest konieczne dla większego dobra. Konrad odrzuca tę optymistyczną teodycję.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010g000xqh7mr9knwvns,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,Jaką rolę w interpretacji postkolonialnej pełni mesjanizm według koncepcji 'appropriation'?,"{""options"": [""jest formą kulturowej kapitulacji"", ""jest zawłaszczeniem dyskursu hegemonicznego i przekształceniem go na własne potrzeby"", ""jest odrzuceniem kultury zachodniej"", ""jest imitacją wzorców niemieckich""]}",1,,{},"{""explanation"": ""Appropriation (zawłaszczenie) polega na przejęciu dyskursu dominującego (heglizmu) i przekształceniu go - mesjanizm używa kategorii Hegla przeciwko niemu.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010g000yqh7mukh3fsh9,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,Co oznacza 'chytrość rozumu' (List der Vernunft) w filozofii Hegla i jak mesjanizm ją odwraca?,"{""options"": [""rozum manipuluje jednostkami dla postępu; mesjanizm czyni Polskę podmiotem, nie narzędziem"", ""rozum jest zły; mesjanizm gloryfikuje uczucie"", ""rozum jest ukryty; mesjanizm go ujawnia"", ""rozum jest boski; mesjanizm go sekularyzuje""]}",0,,{},"{""explanation"": ""U Hegla 'chytry rozum' używa narodów jako narzędzi postępu. Mesjanizm odwraca: Polska nie jest narzędziem, lecz podmiotem zbawienia.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010g000zqh7mxivtbucv,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,"Jakie znaczenie ma fakt, że Wielka Improwizacja jest TRZECIĄ improwizacją Konrada w dramacie?","{""options"": [""symbolizuje Trójcę Świętą"", ""pokazuje narastanie natchnienia - od pieśni przez hymn do konfrontacji z Bogiem"", ""nawiązuje do trzech zaborców"", ""jest przypadkowe""]}",1,,{},"{""explanation"": ""Zofia Stefanowska analizowała sekwencję trzech improwizacji jako narastanie natchnienia - kulminację stanowi trzecia, najdłuższa.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010i0010qh7mnfj9v8cn,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,4,3,Co według Ryszarda Przybylskiego oznacza 'milczenie' Boga w Wielkiej Improwizacji?,"{""options"": [""nieistnienie Boga"", ""potwierdzenie oskarżeń Konrada (Bóg nie ma kontrargumentów)"", ""próbę cierpliwości"", ""element dramaturgiczny""]}",1,,{},"{""explanation"": ""Przybylski interpretował milczenie Boga jako potwierdzenie zarzutów - skoro Bóg nie odpowiada, może nie ma czym się bronić.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010j0011qh7mvfv8tx30,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,5,4,Jak koncepcja 'siedmiu duchów źródłowych' Boehmego może tłumaczyć strukturę sił w Wielkiej Improwizacji?,"{""options"": [""siedem duchów to siedem grzechów głównych"", ""siły Boga i Konrada mają wspólne kosmiczne źródło w przedwiecznej naturze"", ""siedem duchów to anioły strzegące Konrada"", ""odnosi się do siedmiu scen dramatu""]}",1,,{},"{""explanation"": ""Boehme mówił o 'siedmiu duchach źródłowych' jako siłach kosmicznych. Konrad powołuje się na wspólne źródło sił - jego i Boga.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010j0012qh7mcmnixkvm,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,5,4,Jaką funkcję pełni autocenzura Mickiewicza (niedopowiedzenie bluźnierstwa) według współczesnych interpretacji?,"{""options"": [""tylko uniknięcie cenzury carskiej"", ""utrzymanie ambiwalencji tekstu i ochrona przed jednoznacznym potępieniem bohatera"", ""brak odwagi artystycznej"", ""względy religijne autora""]}",1,,{},"{""explanation"": ""Kwiryna Ziemba i inni badacze widzą w niedopowiedzeniu świadomą strategię - ambiwalencja chroni tekst i bohatera przed jednoznaczną oceną.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010j0013qh7mhz8d3fo1,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,5,4,"Jak wiersze z rękopisów III cz. Dziadów ('Do Samotności', 'Te rozkwitłe świeżo drzewa...') oświetlają genezę Wielkiej Improwizacji?","{""options"": [""nie mają związku z Improwizacją"", ""pokazują rozpad podmiotowości i mechanizmy obronne, które kulminują w 'Nazywam się Milion'"", ""są tylko ćwiczeniami stylistycznymi"", ""przedstawiają innego bohatera""]}",1,,{},"{""explanation"": ""Kwiryna Ziemba analizowała te liryki jako świadectwo kryzysu podmiotowości Mickiewicza - Improwizacja to próba jej rekonstrukcji przez utożsamienie ze zbiorowością.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010j0014qh7mkg4n5bjy,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,5,4,Na czym polega 'paradoks polskiej mentalności postkolonialnej' według Marii Janion?,"{""options"": [""Polacy są jednocześnie kolonizatorami i kolonizowanymi"", ""poczucie niższości wobec Zachodu kompensowane mesjanistyczną dumą i poczuciem wyższości moralnej"", ""Polacy naśladują kolonizatorów"", ""mesjanizm jest formą kolonizacji wewnętrznej""]}",1,,{},"{""explanation"": ""Janion opisuje 'zamknięte koło niższości i wyższości' - poczucie peryferyjności kompensowane przekonaniem o moralnej wyższości nad 'zepsutym' Zachodem.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmhyzclop0015qh6er7tmfogl,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,Jaką rolę pełni motyw snu w powieści?,"{""options"": [""Tylko urozmaicenie fabuły"", ""Ujawnianie prawdziwych uczuć i sumienia bohatera"", ""Przepowiadanie przyszłości"", ""Humor""]}",1,,{},"{""explanation"": ""Sny (koń, śmiejąca się lichwarka, zaraza) ujawniają prawdziwe uczucia Raskolnikowa, jego sumienie i niemożność pogodzenia się ze zbrodnią.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzcloq0019qh6ebc0muqhp,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,2,2,"Co zrobiła Dunia, gdy Swidrigajłow próbował ją uwieść?","{""options"": [""Zgodziła się"", ""Uciekła"", ""Strzeliła do niego z rewolweru (dwa razy chybiła)"", ""Wezwała pomoc""]}",2,,{},"{""explanation"": ""Dunia strzeliła do Swidrigajłowa z jego własnego rewolweru - pierwszy raz ledwo go drasnęła, drugi raz nie było naboju. Swidrigajłow ją wtedy wypuścił.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzcloq001dqh6en9xi4u6p,CLOSED_MULTIPLE,HISTORICAL_LITERARY,POSITIVISM,2,3,Które motywy są kluczowe w powieści? (wybierz wszystkie poprawne),"{""options"": [""Grzech i odkupienie"", ""Teoria nadczłowieka"", ""Cierpienie jako droga zbawienia"", ""Miłość romantyczna"", ""Nędza społeczna"", ""Walka klas""]}","[0, 1, 2, 4]",,{},"{""explanation"": ""Kluczowe motywy to: grzech i odkupienie, teoria nadczłowieka, cierpienie zbawcze, nędza społeczna. Miłość i walka klas są drugorzędne.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmiip010j0015qh7mghsfk2ay,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,5,4,"Jak rozumieć twierdzenie, że mesjanizm Mickiewicza to 'historiozofia podporządkowanych'?","{""options"": [""jest filozofią dla mas niewykształconych"", ""jest kontrnarracją tożsamościową wobec dominującego dyskursu (Hegla), przekształcającą słabość w siłę"", ""podporządkowuje się filozofii niemieckiej"", ""jest wyrazem religijnego fatalizmu""]}",1,,{},"{""explanation"": ""Mesjanizm to historiozofia narodu wykluczonego z 'dziejów' przez Hegla - przekształca marginalizację w wybraństwo, słabość w moc zbawczą.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010j0016qh7myauhcamw,CLOSED_MULTIPLE,HISTORICAL_LITERARY,ROMANTICISM,3,3,Które elementy filozofii Boehmego są obecne w Wielkiej Improwizacji?,"{""options"": [""koncepcja wspólnego źródła sił Boga i człowieka"", ""rozróżnienie Boga od Jego 'natury'"", ""idea reinkarnacji"", ""siedem duchów źródłowych"", ""predestynacja kalwińska""]}","[0, 1, 3]",,{},"{""explanation"": ""Boehme wpływa przez: wspólne źródło sił, rozróżnienie Bóg/natura, siedem duchów. Reinkarnacja i predestynacja to inne tradycje.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010k0017qh7ms8o133m7,CLOSED_MULTIPLE,HISTORICAL_LITERARY,ROMANTICISM,3,3,Które interpretacje Wielkiej Improwizacji pojawiają się w tradycji badawczej?,"{""options"": [""romantyczno-patriotyczna (szlachetny bunt)"", ""religijna (grzech pychy wymagający nawrócenia)"", ""marksistowska (walka klas)"", ""psychoanalityczna (mechanizmy obronne)"", ""postkolonialna (kontrdyskurs)""]}","[0, 1, 3, 4]",,{},"{""explanation"": ""Główne nurty: romantyczny, religijny, psychoanalityczny (Janion), postkolonialny (Gall). Interpretacja marksistowska nie jest typowa dla tego tekstu.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
