id,type,category,work,difficulty,question,createdAt
cmmv8x0ae000zqhyfmwq68qf9,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,"W jakim wieku rozgrywa sie akcja ""Konrada Wallenroda""?",2026-03-17 23:30:49.911
cmmv8x0ab000yqhyflugj5uwu,SHORT_ANSWER,HISTORICAL_LITERARY,Sklepy cynamonowe,3,"Opisz krotko, co dzieje sie z ojcem w opowiadaniu ""Nawiedzenie"". Jakie dziwne zachowania przejawia?",2026-03-17 23:30:49.908
cmmv8x0a9000xqhyfvgtcgavw,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Sklepy cynamonowe,3,Ktore z ponizszych metamorfoz ojca wystepuja w zbiorze?,2026-03-17 23:30:49.906
cmmv8x0a7000wqhyf6gjori35,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,3,Jaka jest relacja miedzy Ulica Krokodyli a reszta miasteczka?,2026-03-17 23:30:49.903
cmmv8x0a5000vqhyfps9fwm28,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,3,"Jakim terminem okresla sie czas w ""Sklepach cynamonowych""?",2026-03-17 23:30:49.901
cmmv8x0a3000uqhyf20y5vbce,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,3,Co spotkalo Brunona Schulza podczas wojny?,2026-03-17 23:30:49.899
cmmv8x0a1000tqhyfelvsb6db,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,"Co ojciec robi na uczcie w opowiadaniu ""Noc wielkiego sezonu""?",2026-03-17 23:30:49.897
cmmv8x09y000sqhyfb9qygjx1,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,Ktore stwierdzenia o tytulowych sklepach cynamonowych sa prawdziwe?,2026-03-17 23:30:49.894
cmmv8x09v000rqhyf4bj0wufz,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,"Co stalo sie z ciotka Perazja w opowiadaniu ""Wichura""?",2026-03-17 23:30:49.891
cmmv8x09s000qqhyfmxxgt89s,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,"Co ojciec postuluje stworzyc ""na obraz i podobienstwo"" w Traktacie o Manekinach?",2026-03-17 23:30:49.888
cmmv8x09q000pqhyf9iebq7ql,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,Kim sa Polda i Paulina w zbiorze?,2026-03-17 23:30:49.886
cmmv8x09o000oqhyf1xqdqo62,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,2,"Do jakiego ptaka jest porownywany ojciec w opowiadaniu ""Ptaki""?",2026-03-17 23:30:49.884
cmmv8x09l000nqhyfarublwy5,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,Ktore cechy opisuja ojca narratora w zbiorze?,2026-03-17 23:30:49.881
cmmv8x09j000mqhyfpg50z8zm,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,"Ktore z podnizszych opowiadan naleza do zbioru ""Sklepy cynamonowe""?",2026-03-17 23:30:49.879
cmmv8x09h000lqhyfgrglkycu,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,Jakie rodzinne miasto Schulza bylo wzorem dla miasteczka w zbiorze?,2026-03-17 23:30:49.877
cmmv8x09e000kqhyf2gr8xohj,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,"Jak nazywa sie narrator zbioru ""Sklepy cynamonowe""?",2026-03-17 23:30:49.875
cmmv8x09c000jqhyf8k5ai09y,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,"Kto pomog Schulzowi wydac ""Sklepy cynamonowe""?",2026-03-17 23:30:49.873
cmmv8x09a000iqhyf5ohjnnai,CLOSED_SINGLE,HISTORICAL_LITERARY,Sklepy cynamonowe,1,"W jakiej epoce literackiej powstaly ""Sklepy cynamonowe""?",2026-03-17 23:30:49.87
cmmv8x098000hqhyfutr5vseb,SHORT_ANSWER,HISTORICAL_LITERARY,Ludzie bezdomni,3,Kim jest Karbowski i dlaczego Judym porownuje go do kwiatu tuberozy?,2026-03-17 23:30:49.868
cmmv8x095000gqhyfeps5rxp9,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Ludzie bezdomni,3,"Ktore motywy literackie sa obecne w ""Ludziach bezdomnych""?",2026-03-17 23:30:49.866
cmmv8x093000fqhyfppqdzhds,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,3,"Czym jest ""zeromeszczyzna"" jako styl literacki?",2026-03-17 23:30:49.864
cmmv8x091000eqhyfzffgk8sh,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,3,Dlaczego Judym w zakonczeniu rezygnuje z milosci do Joanny?,2026-03-17 23:30:49.862
cmmv8x08z000dqhyfiq83wq8u,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,3,Co symbolizuje rozdarta sosna w zakonczeniu powiesci?,2026-03-17 23:30:49.859
cmmv8x08w000cqhyfbfxqctuf,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,Ktore miejsca w powiesci sluza jako ilustracja nedzy spolecznej?,2026-03-17 23:30:49.856
cmmv8x08t000bqhyfo3o3e8kx,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,"Ktore stwierdzenia o rozdziale ""Zwierzenia"" sa prawdziwe?",2026-03-17 23:30:49.854
cmmv8x08r000aqhyftax7jhhf,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,Kto jedyny okazuje Judymowi wspolczucie po nieudanym odczycie?,2026-03-17 23:30:49.851
cmmv8x08p0009qhyf322lny7y,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,"Czego dotyczy slynne zdanie Judyma: ""Lekarz dzisiejszy -- to lekarz ludzi bogatych""?",2026-03-17 23:30:49.849
cmmv8x08m0008qhyfzx9n4a0c,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,Co Judym robi po utracie posady w Cisach?,2026-03-17 23:30:49.847
cmmv8x08k0007qhyfbqo8iwcf,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,Jaki obraz w Luwrze gleboko porusza Judyma i staje sie symbolem nedzy?,2026-03-17 23:30:49.844
cmmv8x08h0006qhyfflknjrnr,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,2,Kto jest dyrektorem zakladu leczniczego w Cisach?,2026-03-17 23:30:49.841
cmmv8x08e0005qhyf8a9446u0,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,"Ktore postacie sa lekarzami w powiesci ""Ludzie bezdomni""?",2026-03-17 23:30:49.839
cmmv8x08c0004qhyf92sbxwsd,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,Ktore z ponizszych zdan o Tomaszu Judymie sa prawdziwe?,2026-03-17 23:30:49.836
cmmv8x0890003qhyfug0p2nme,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,Gdzie Judym odbywal praktyki chirurgiczne przed powrotem do Warszawy?,2026-03-17 23:30:49.834
cmmv8x0870002qhyfbtcczi1c,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,Na jakiej ulicy w Warszawie mieszkal ojciec Tomasza Judyma?,2026-03-17 23:30:49.831
cmmv8x0840001qhyfeyebeupr,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,Jak nazywa sie glowna bohaterka kobieca powiesci?,2026-03-17 23:30:49.828
cmmv8x07s0000qhyfpj6ucssm,CLOSED_SINGLE,HISTORICAL_LITERARY,Ludzie bezdomni,1,"W jakim roku zostala napisana powiesc ""Ludzie bezdomni""?",2026-03-17 23:30:49.816
cmmv7fbfd002qqhxp9kutkrpy,ESSAY,WRITING,Dżuma,5,"Czlowiek wobec cierpienia i smierci. Rozważ problem, odwolujac sie do ""Dzumy"" Alberta Camusa i jednego innego tekstu kultury.",2026-03-17 22:49:04.922
cmmv7fbf9002pqhxpnb6oum42,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,5,Napisz notatke syntetyczna na podany temat:,2026-03-17 22:49:04.918
cmmv7fbf7002oqhxpkarvjlum,SHORT_ANSWER,LANGUAGE_USE,Dżuma,5,"Wyjasnij, na czym polega styl narracyjny ""Dzumy"" i dlaczego Camus wybral forme kroniki. Jak wplywa to na odbiór powiesci?",2026-03-17 22:49:04.915
cmmv7fbf5002nqhxpgain97ie,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,5,"Porownaj ""Dzume"" Camusa z ""Antygona"" Sofoklesa w kontekscie buntu wobec porzadku swiata. Czym sie rozni bunt Rieux od buntu Antygony?",2026-03-17 22:49:04.913
cmmv7fbf2002mqhxpxgfvny97,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,5,"Ktore stwierdzenia o przeslaniu ""Dzumy"" sa uzasadnione?",2026-03-17 22:49:04.911
cmmv7fbf0002lqhxpcfmvm6nh,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,5,"Dlaczego Camus wybral Oran — brzydkie, banalne miasto handlowe — jako miejsce akcji?",2026-03-17 22:49:04.909
cmmv7fbey002kqhxp56pq94jb,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,5,"Jak ""Dzuma"" odpowiada na pytanie: czy mozna byc swietym bez Boga?",2026-03-17 22:49:04.906
cmmv7fbew002jqhxpd1d44y7d,ESSAY,WRITING,Dżuma,4,"Solidarnosc ludzi w obliczu zagrozenia. Omow zagadnienie, odwolujac sie do ""Dzumy"" Alberta Camusa i jednego innego tekstu kultury.",2026-03-17 22:49:04.904
cmmv7fbet002iqhxp8udn0z26,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,4,Napisz notatke syntetyczna na podany temat:,2026-03-17 22:49:04.901
cmmv7fbeq002hqhxpie26yj9h,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,4,Napisz notatke syntetyczna na podany temat:,2026-03-17 22:49:04.899
cmmv7fbeo002gqhxp1s9vodt8,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,4,Co Tarrou opowiada Rieux o swoim ojcu i jak to doswiadczenie uformowalo jego postawe zyciowa?,2026-03-17 22:49:04.897
cmmv7fbel002fqhxpnvt9208r,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,4,"Wyjasnij, dlaczego smierc dziecka sedziego Othona jest punktem kulminacyjnym powiesci. Jak reaguja na nia rozni bohaterowie?",2026-03-17 22:49:04.893
cmmv7fbej002eqhxpjhz7asoh,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,4,"Porownaj Rieux i Tarrou jako dwa modele walki ze zlem. Czym sie roznia, a co ich laczy?",2026-03-17 22:49:04.891
cmmv7fbeg002dqhxpzbayfg4g,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,4,"Ktore konteksty historyczne i filozoficzne sa kluczowe dla interpretacji ""Dzumy""?",2026-03-17 22:49:04.889
cmmv7fbed002cqhxpw19uc8pt,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,4,Ktore z ponizszych stwierdzeen o roli narratora-Rieux sa prawdziwe?,2026-03-17 22:49:04.886
cmmv7fbeb002bqhxpa5hztby9,CLOSED_SINGLE,LANGUAGE_USE,Dżuma,4,Jaka funkcje pelni zdanie Granda o amazonce w strukturze powiesci?,2026-03-17 22:49:04.883
cmmv7fbe9002aqhxpst5i2m9i,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,4,Jakie znaczenie ma scena finalowa z Cottardem?,2026-03-17 22:49:04.881
cmmv7fbe50029qhxp98kpjfhp,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,4,"Dlaczego Cottard jest jedynym bohaterem, ktoremu dzuma ""dogadza""?",2026-03-17 22:49:04.878
cmmv7fbe30028qhxpmf0n5p61,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,3,Napisz notatke syntetyczna na podany temat:,2026-03-17 22:49:04.876
cmmv7fbe10027qhxpr6dntgvn,SHORT_ANSWER,LANGUAGE_USE,Dżuma,3,Jaka role pelnia notatki Tarrou w kompozycji powiesci?,2026-03-17 22:49:04.873
cmmv7fbdz0026qhxpr1iqui3y,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,3,Co sie stalo z Josephem Grandem pod Boze Narodzenie?,2026-03-17 22:49:04.871
cmmv7fbdw0025qhxprt9vpcfz,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,3,Jak ewoluowaly pogrzeby w miare trwania epidemii? Opisz co najmniej trzy etapy.,2026-03-17 22:49:04.868
cmmv7fbdt0024qhxpj7t45zdb,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,Ktore z ponizszych stwierdzen o smierci Tarrou sa prawdziwe?,2026-03-17 22:49:04.866
cmmv7fbdr0023qhxpddbiro1o,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,"Ktore elementy ""Dzumy"" nawiazuja do doswiadczen II wojny swiatowej?",2026-03-17 22:49:04.864
cmmv7fbdo0022qhxpfgv9kr0u,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,Polacz bohaterow z ich kluczowymi wypowiedziami:,2026-03-17 22:49:04.861
cmmv7fbdm0021qhxpkc8ciatb,CLOSED_SINGLE,LANGUAGE_USE,Dżuma,3,"Jaki zabieg kompozycyjny stosuje Camus, umieszczajac akcje w roku ""194."" bez ostatniej cyfry?",2026-03-17 22:49:04.858
cmmv7fbdk0020qhxpjgub42c5,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,3,"Dlaczego narrator uwaza, ze ""dwa i dwa to cztery"" jest wazna prawda w kontekscie walki z dzuma?",2026-03-17 22:49:04.856
cmmv7fbdh001zqhxpjefd11ym,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,3,Co Tarrou notuje o zachowaniu mieszkancow Oranu w szczycie epidemii?,2026-03-17 22:49:04.854
cmmv7fbdf001yqhxp0j59dxns,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,3,Jaka ewolucje przechodzi Rambert w ciagu powiesci?,2026-03-17 22:49:04.852
cmmv7fbdd001xqhxps769kz12,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,2,Dlaczego Rieux odmawia wydania Rambertowi zaswiadczenia o zdrowiu?,2026-03-17 22:49:04.849
cmmv7fbdb001wqhxppmiebi8p,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,2,Kim jest Gonzales i jaka role pelni w watku ucieczki Ramberta?,2026-03-17 22:49:04.847
cmmv7fbd8001vqhxpgphkgm3f,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,2,Opisz krotko rodzine pana Othona wedlug notatek Tarrou.,2026-03-17 22:49:04.844
cmmv7fbd4001uqhxpw6lt5r9d,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,2,Ktore formy ograniczenia wolnosci dotknely mieszkancow Oranu?,2026-03-17 22:49:04.841
cmmv7fbd2001tqhxp8iajazuu,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,2,"Uzupelnij zdania, wybierajac poprawne opcje:",2026-03-17 22:49:04.839
cmmv7fbd0001sqhxpg5nsiiu3,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,2,Ktore z ponizszych scen wystepuja w powiesci?,2026-03-17 22:49:04.836
cmmv7fbcw001rqhxpwl1evasb,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,2,Kto pomagal Rambertowi w organizacji ucieczki z Oranu?,2026-03-17 22:49:04.833
cmmv7fbcu001qqhxpjdt98edt,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,2,Jak zmienil sie sedzia Othon po smierci syna?,2026-03-17 22:49:04.831
cmmv7fbcs001pqhxpsjsqm2b0,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,2,"Co doktor Richard, sekretarz syndykatu lekarzy, sadzil o epidemii?",2026-03-17 22:49:04.828
cmmv7fbcq001oqhxpvsj11y0k,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,2,Co robi maly staruszek obserwowany przez Tarrou z balkonu hotelu?,2026-03-17 22:49:04.826
cmmv7fbcn001nqhxppcu795ob,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,2,Kto uratowal Cottarda po probie samobojczej?,2026-03-17 22:49:04.824
cmmv7fbcl001mqhxpp3eysqgd,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,1,Jak Camus opisuje Oran na poczatku powiesci? Wymien trzy cechy miasta.,2026-03-17 22:49:04.821
cmmv7fbcj001lqhxpsdxtg1nm,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,1,"Ktore zdania poprawnie opisuja narracje w ""Dzumie""?",2026-03-17 22:49:04.819
cmmv7fbcg001kqhxpt8janebn,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,1,Ktore skutki epidemii dotknely mieszkancow Oranu?,2026-03-17 22:49:04.816
cmmv7fbca001jqhxp7u361ut1,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,1,"Ktore z ponizszych postaci sa bohaterami drugoplanowymi ""Dzumy""?",2026-03-17 22:49:04.81
cmmv7fbc7001iqhxp90yuwhu7,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,Ile slow mogl liczyc telegram wysylany z zamknietego Oranu?,2026-03-17 22:49:04.808
cmmv7fbc5001hqhxp27f0laq5,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,"Co stalo sie z Cottardem na poczatku powiesci, przed wybuchem epidemii?",2026-03-17 22:49:04.805
cmmv7fbc3001gqhxpasz62rt9,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,Co robi prefekt po oficjalnym stwierdzeniu epidemii?,2026-03-17 22:49:04.803
cmmv7fbc0001fqhxpx2fk52ze,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,Kim jest Jean Tarrou?,2026-03-17 22:49:04.801
cmmv7fbbx001eqhxpv98p2hlk,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,"Jak nazywa sie dozorca, ktory jest jedna z pierwszych ofiar dzumy?",2026-03-17 22:49:04.797
cmmv7fbbu001dqhxpb7c5k3ot,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,1,"W ktorym roku zostala wydana powiessc ""Dzuma"" Alberta Camusa?",2026-03-17 22:49:04.794
cmmv7fbbo001cqhxpd6qr2sfv,ESSAY,WRITING,Dżuma,5,"Czy bunt wobec zła może nadać sens ludzkiemu życiu? Rozważ problem, odwołując się do „Dżumy” Alberta Camusa i jednego innego tekstu kultury.",2026-03-17 22:49:04.789
cmmv7fbbg001bqhxp1pxtghm4,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,5,Napisz notatkę syntetyczną na podany temat:,2026-03-17 22:49:04.78
cmmv7fbbd001aqhxp1esmeu3p,SHORT_ANSWER,LANGUAGE_USE,Dżuma,5,"Wyjaśnij, dlaczego Rieux ujawnia się jako narrator dopiero na końcu powieści. Jaką funkcję pełni ten zabieg narracyjny?",2026-03-17 22:49:04.778
cmmv7fbbb0019qhxpshn3n93l,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,5,Porównaj „Dżumę” Camusa z „Innym światem” Herlinga-Grudzińskiego. Co łączy obie powieści w ujęciu problemu zła i reakcji człowieka na nie?,2026-03-17 22:49:04.775
cmmv7fbb90018qhxp2rwp4bjn,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,5,Które aspekty „Dżumy” świadczą o jej związku z egzystencjalizmem?,2026-03-17 22:49:04.773
cmmv7fbb60017qhxpbrct1rdt,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,5,Dlaczego Tarrou pragnie „świętości bez Boga” i dlaczego tej świętości nie osiąga?,2026-03-17 22:49:04.771
cmmv7fbb40016qhxpf07z6ns2,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,5,Jak „Dżuma” realizuje filozofię absurdu Camusa z eseju „Mit Syzyfa”?,2026-03-17 22:49:04.768
cmmv7fbb00015qhxp58znio6g,ESSAY,WRITING,Dżuma,4,"Czy uczciwość wystarczy, by walczyć ze złem? Rozważ problem, odwołując się do „Dżumy” Alberta Camusa i jednego innego tekstu kultury.",2026-03-17 22:49:04.765
cmmv7fbax0014qhxpl01n3dol,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,4,Napisz notatkę syntetyczną na podany temat:,2026-03-17 22:49:04.762
cmmv7fbav0013qhxpdjuyelvd,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,4,Napisz notatkę syntetyczną na podany temat:,2026-03-17 22:49:04.759
cmmv7fbas0012qhxph3t7mzhy,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,4,"Wyjaśnij sens ostatniego zdania powieści o „bakcylu dżumy, który nigdy nie umiera”. Jakie ma przesłanie?",2026-03-17 22:49:04.756
cmmv7fbap0011qhxpav1ea4dd,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,4,Jaką rolę pełni scena nocnej kąpieli Rieux i Tarrou w morzu? Dlaczego jest ważna kompozycyjnie?,2026-03-17 22:49:04.754
cmmv7fban0010qhxp9qd4qvba,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,4,Które porównania międzytekstowe z innymi dziełami są uzasadnione?,2026-03-17 22:49:04.751
cmmv7fbal000zqhxp1aznnj0l,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,4,Które elementy „Dżumy” świadczą o jej parabolicznym (alegorycznym) charakterze?,2026-03-17 22:49:04.749
cmmv7fbai000yqhxp8rsyixd2,CLOSED_SINGLE,LANGUAGE_USE,Dżuma,4,Jaką rolę pełni w powieści motyw „abstrakcji”?,2026-03-17 22:49:04.747
cmmv7fbaf000xqhxp3l97hcde,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,4,Jak Camus buduje postać Tarrou jako bohatera egzystencjalnego? Jakie doświadczenie go ukształtowało?,2026-03-17 22:49:04.744
cmmv7fbad000wqhxpbanfihts,CLOSED_SINGLE,HISTORICAL_LITERARY,Dżuma,4,Co Tarrou rozumie przez zdanie „każdy nosi w sobie dżumę”?,2026-03-17 22:49:04.741
cmmv7fba9000vqhxpow0n0a4f,SYNTHESIS_NOTE,HISTORICAL_LITERARY,Dżuma,3,Napisz notatkę syntetyczną na podany temat:,2026-03-17 22:49:04.738
cmmv7fba7000uqhxpg9jmk0lh,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,3,Dlaczego narrator uważa Josepha Granda za „bohatera” kroniki? Co jest w tym paradoksalne?,2026-03-17 22:49:04.735
cmmv7fba4000tqhxpomrmv8az,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,3,Co oznacza zdanie Rieux: „Jedyny sposób walki z dżumą to uczciwość”? Jak je rozumie?,2026-03-17 22:49:04.732
cmmv7fba1000sqhxpp73go0gn,SHORT_ANSWER,HISTORICAL_LITERARY,Dżuma,3,Opisz scenę w operze (Orfeusz i Eurydyka) z notatek Tarrou. Co symbolizuje?,2026-03-17 22:49:04.73
cmmv7fb9z000rqhxp6hbpm9tl,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,Które postawy wobec dżumy (zła) reprezentują poszczególni bohaterowie?,2026-03-17 22:49:04.727
cmmv7fb9w000qqhxphnvy2rh2,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,Które cytaty pochodzą z „Dżumy” i kto je wypowiada?,2026-03-17 22:49:04.725
cmmv7fb9u000pqhxpv2drpfqe,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Dżuma,3,Które interpretacje tytułu „Dżuma” są uzasadnione tekstem powieści?,2026-03-17 22:49:04.722
